,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age_Group
314,Kyle Korver,Atlanta Hawks,26,SG,35,154,212,Creighton,5746479,31-35
315,Paul Millsap,Atlanta Hawks,4,PF,31,171,246,Louisiana Tech,18671659,31-35
316,Mike Muscala,Atlanta Hawks,31,PF,24,150,240,Bucknell,947276,21-25
317,Lamar Patterson,Atlanta Hawks,13,SG,24,164,225,Pittsburgh,525093,21-25
318,Dennis Schroder,Atlanta Hawks,17,PG,22,154,172,Unknown,1763400,21-25
319,Mike Scott,Atlanta Hawks,32,PF,27,177,237,Virginia,3333333,26-30
320,Thabo Sefolosha,Atlanta Hawks,25,SF,32,163,220,Unknown,4000000,31-35
321,Tiago Splitter,Atlanta Hawks,11,C,31,173,245,Unknown,9756250,31-35
322,Walter Tavares,Atlanta Hawks,22,C,24,177,260,Unknown,1000000,21-25
323,Jeff Teague,Atlanta Hawks,0,PG,27,180,186,Wake Forest,8000000,26-30
324,Nicolas Batum,Charlotte Hornets,5,SG,27,158,200,Unknown,13125306,26-30
325,Troy Daniels,Charlotte Hornets,30,SG,24,155,205,Virginia Commonwealth,947276,21-25
326,Jorge Gutierrez,Charlotte Hornets,12,PG,27,170,189,California,189455,26-30
327,Tyler Hansbrough,Charlotte Hornets,50,PF,30,177,250,North Carolina,947276,26-30
328,Aaron Harrison,Charlotte Hornets,9,SG,21,169,210,Kentucky,525093,21-25
329,Spencer Hawes,Charlotte Hornets,0,PF,28,179,245,Washington,6110034,26-30
330,Al Jefferson,Charlotte Hornets,25,C,31,154,289,Unknown,13500000,31-35
331,Frank Kaminsky III,Charlotte Hornets,44,C,23,150,240,Wisconsin,2612520,21-25
332,Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,178,232,Kentucky,6331404,21-25
333,Jeremy Lamb,Charlotte Hornets,3,SG,24,173,185,Connecticut,3034356,21-25
334,Courtney Lee,Charlotte Hornets,1,SG,30,173,200,Western Kentucky,5675000,26-30
335,Jeremy Lin,Charlotte Hornets,7,PG,27,169,200,Harvard,2139000,26-30
336,Kemba Walker,Charlotte Hornets,15,PG,26,158,184,Connecticut,12000000,26-30
337,Marvin Williams,Charlotte Hornets,2,PF,29,157,237,North Carolina,7000000,26-30
338,Cody Zeller,Charlotte Hornets,40,C,23,159,240,Indiana,4204200,21-25
339,Chris Bosh,Miami Heat,1,PF,32,164,235,Georgia Tech,22192730,31-35
340,Luol Deng,Miami Heat,9,SF,31,157,220,Duke,10151612,31-35
341,Goran Dragic,Miami Heat,7,PG,30,152,190,Unknown,14783000,26-30
342,Gerald Green,Miami Heat,14,SF,30,179,205,Unknown,947276,26-30
343,Udonis Haslem,Miami Heat,40,PF,36,162,235,Florida,2854940,36-40
344,Joe Johnson,Miami Heat,2,SF,34,156,240,Arkansas,261894,31-35
345,Tyler Johnson,Miami Heat,8,SG,24,154,186,Fresno State,845059,21-25
346,Josh McRoberts,Miami Heat,4,PF,29,177,240,Duke,5543725,26-30
347,Josh Richardson,Miami Heat,0,SG,22,156,200,Tennessee,525093,21-25
348,Amar'e Stoudemire,Miami Heat,5,PF,33,177,245,Unknown,947276,31-35
349,Dwyane Wade,Miami Heat,3,SG,34,155,220,Marquette,20000000,31-35
350,Briante Weber,Miami Heat,12,PG,23,151,165,Virginia Commonwealth,0,21-25
351,Hassan Whiteside,Miami Heat,21,C,26,173,265,Marshall,981348,26-30
352,Justise Winslow,Miami Heat,20,SF,20,163,225,Duke,2481720,15-20
353,Dorell Wright,Miami Heat,11,SF,30,171,205,Unknown,0,26-30
354,Dewayne Dedmon,Orlando Magic,3,C,26,176,245,USC,947276,26-30
355,Evan Fournier,Orlando Magic,10,SG,23,166,205,Unknown,2288205,21-25
356,Aaron Gordon,Orlando Magic,0,PF,20,167,220,Arizona,4171680,15-20
357,Mario Hezonja,Orlando Magic,23,SG,21,154,218,Unknown,3741480,21-25
358,Ersan Ilyasova,Orlando Magic,7,PF,29,177,235,Unknown,7900000,26-30
359,Brandon Jennings,Orlando Magic,55,PG,26,152,169,Unknown,8344497,26-30
360,Devyn Marble,Orlando Magic,11,SF,23,159,200,Iowa,845059,21-25
361,Shabazz Napier,Orlando Magic,13,PG,24,162,175,Connecticut,1294440,21-25
362,Andrew Nicholson,Orlando Magic,44,PF,26,174,250,St. Bonaventure,2380593,26-30
363,Victor Oladipo,Orlando Magic,5,SG,24,163,210,Indiana,5192520,21-25
364,Elfrid Payton,Orlando Magic,4,PG,22,172,185,Louisiana-Lafayette,2505720,21-25
365,Jason Smith,Orlando Magic,14,PF,30,153,240,Colorado State,4300000,26-30
366,Nikola Vucevic,Orlando Magic,9,C,25,169,260,USC,11250000,21-25
367,C.J. Watson,Orlando Magic,32,PG,32,154,175,Tennessee,5000000,31-35
368,Alan Anderson,Washington Wizards,6,SG,33,162,220,Michigan State,4000000,31-35
369,Bradley Beal,Washington Wizards,3,SG,22,152,207,Florida,5694674,21-25
370,Jared Dudley,Washington Wizards,1,SF,30,167,225,Boston College,4375000,26-30
371,Jarell Eddie,Washington Wizards,8,SG,24,154,218,Virginia Tech,561716,21-25
372,Drew Gooden,Washington Wizards,90,PF,34,170,250,Kansas,3300000,31-35
373,Marcin Gortat,Washington Wizards,13,C,32,154,240,Unknown,11217391,31-35
374,JJ Hickson,Washington Wizards,21,C,27,153,242,North Carolina State,273038,26-30
375,Nene Hilario,Washington Wizards,42,C,33,154,250,Unknown,13000000,31-35
376,Markieff Morris,Washington Wizards,5,PF,26,175,245,Kansas,8000000,26-30
377,Kelly Oubre Jr.,Washington Wizards,12,SF,20,169,205,Kansas,1920240,15-20
378,Otto Porter Jr.,Washington Wizards,22,SF,23,159,198,Georgetown,4662960,21-25
379,Ramon Sessions,Washington Wizards,7,PG,30,180,190,Nevada,2170465,26-30
380,Garrett Temple,Washington Wizards,17,SG,30,161,195,LSU,1100602,26-30
381,Marcus Thornton,Washington Wizards,15,SF,29,171,205,LSU,200600,26-30
382,John Wall,Washington Wizards,2,PG,25,171,195,Kentucky,15851950,21-25
383,Darrell Arthur,Denver Nuggets,0,PF,28,173,235,Kansas,2814000,26-30
384,D.J. Augustin,Denver Nuggets,12,PG,28,179,183,Texas,3000000,26-30
385,Will Barton,Denver Nuggets,5,SF,25,152,175,Memphis,3533333,21-25
386,Wilson Chandler,Denver Nuggets,21,SF,29,159,225,DePaul,10449438,26-30
387,Kenneth Faried,Denver Nuggets,35,PF,26,176,228,Morehead State,11235955,26-30
388,Danilo Gallinari,Denver Nuggets,8,SF,27,169,225,Unknown,14000000,26-30
389,Gary Harris,Denver Nuggets,14,SG,21,163,210,Michigan State,1584480,21-25
390,Nikola Jokic,Denver Nuggets,15,C,21,178,250,Unknown,1300000,21-25
391,Joffrey Lauvergne,Denver Nuggets,77,C,24,154,220,Unknown,1709719,21-25
392,Mike Miller,Denver Nuggets,3,SG,36,175,218,Florida,947276,36-40
393,Emmanuel Mudiay,Denver Nuggets,0,PG,20,159,200,Unknown,3102240,15-20
394,Jameer Nelson,Denver Nuggets,1,PG,34,162,190,Saint Joseph's,4345000,31-35
395,Jusuf Nurkic,Denver Nuggets,23,C,21,171,280,Unknown,1842000,21-25
396,JaKarr Sampson,Denver Nuggets,9,SG,23,153,214,St. John's,258489,21-25
397,Axel Toupane,Denver Nuggets,6,SG,23,169,210,Unknown,0,21-25
398,Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,166,240,Unknown,3950001,26-30
399,Gorgui Dieng,Minnesota Timberwolves,5,C,26,152,241,Louisville,1474440,26-30
400,Kevin Garnett,Minnesota Timberwolves,21,PF,40,169,240,Unknown,8500000,36-40
401,Tyus Jones,Minnesota Timberwolves,1,PG,20,155,195,Duke,1282080,15-20
402,Zach LaVine,Minnesota Timberwolves,8,PG,21,175,189,UCLA,2148360,21-25
403,Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,167,223,UCLA,2056920,21-25
404,Adreian Payne,Minnesota Timberwolves,33,PF,25,166,237,Michigan State,1938840,21-25
405,Nikola Pekovic,Minnesota Timberwolves,14,C,30,158,307,Unknown,12100000,26-30
406,Tayshaun Prince,Minnesota Timberwolves,12,SF,36,155,212,Kentucky,947276,36-40
407,Ricky Rubio,Minnesota Timberwolves,9,PG,25,156,194,Unknown,12700000,21-25
408,Damjan Rudez,Minnesota Timberwolves,10,SF,29,151,230,Unknown,1149500,26-30
409,Greg Smith,Minnesota Timberwolves,4,PF,25,159,250,Fresno State,0,21-25
410,Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,155,244,Kentucky,5703600,15-20
411,Andrew Wiggins,Minnesota Timberwolves,22,SG,21,173,199,Kansas,5758680,21-25
412,Steven Adams,Oklahoma City Thunder,12,C,22,157,255,Pittsburgh,2279040,21-25
413,Nick Collison,Oklahoma City Thunder,4,PF,35,175,255,Kansas,3750000,31-35
414,Kevin Durant,Oklahoma City Thunder,35,SF,27,160,240,Texas,20158622,26-30
415,Randy Foye,Oklahoma City Thunder,6,SG,32,154,213,Villanova,3135000,31-35
416,Josh Huestis,Oklahoma City Thunder,34,SF,24,168,230,Stanford,1140240,21-25
417,Serge Ibaka,Oklahoma City Thunder,9,PF,26,178,245,Unknown,12250000,26-30
418,Enes Kanter,Oklahoma City Thunder,11,C,24,153,245,Kentucky,16407500,21-25
419,Mitch McGary,Oklahoma City Thunder,33,PF,24,151,255,Michigan,1463040,21-25
420,Nazr Mohammed,Oklahoma City Thunder,13,C,38,157,250,Kentucky,222888,36-40
421,Anthony Morrow,Oklahoma City Thunder,2,SG,30,159,210,Georgia Tech,3344000,26-30
422,Cameron Payne,Oklahoma City Thunder,22,PG,21,177,185,Murray State,2021520,21-25
423,Andre Roberson,Oklahoma City Thunder,21,SG,24,163,210,Colorado,1210800,21-25
424,Kyle Singler,Oklahoma City Thunder,5,SF,28,155,228,Duke,4500000,26-30
425,Dion Waiters,Oklahoma City Thunder,3,SG,24,164,220,Syracuse,5138430,21-25
426,Russell Westbrook,Oklahoma City Thunder,0,PG,27,163,200,UCLA,16744218,26-30
427,Cliff Alexander,Portland Trail Blazers,34,PF,20,175,240,Kansas,525093,15-20
428,Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,156,215,Wake Forest,8042895,21-25
429,Pat Connaughton,Portland Trail Blazers,5,SG,23,167,206,Notre Dame,625093,21-25
430,Allen Crabbe,Portland Trail Blazers,23,SG,24,179,210,California,947276,21-25
431,Ed Davis,Portland Trail Blazers,17,C,27,170,240,North Carolina,6980802,26-30
432,Maurice Harkless,Portland Trail Blazers,4,SF,23,162,215,St. John's,2894059,21-25
433,Gerald Henderson,Portland Trail Blazers,9,SG,28,160,215,Duke,6000000,26-30
434,Chris Kaman,Portland Trail Blazers,35,C,34,171,265,Central Michigan,5016000,31-35
435,Meyers Leonard,Portland Trail Blazers,11,PF,24,166,245,Illinois,3075880,21-25
436,Damian Lillard,Portland Trail Blazers,0,PG,25,166,195,Weber State,4236287,21-25
437,C.J. McCollum,Portland Trail Blazers,3,SG,24,176,200,Lehigh,2525160,21-25
438,Luis Montero,Portland Trail Blazers,44,SG,23,160,185,Westchester CC,525093,21-25
439,Mason Plumlee,Portland Trail Blazers,24,C,26,158,235,Duke,1415520,26-30
440,Brian Roberts,Portland Trail Blazers,2,PG,30,167,173,Dayton,2854940,26-30
441,Noah Vonleh,Portland Trail Blazers,21,PF,20,173,240,Indiana,2637720,15-20
442,Trevor Booker,Utah Jazz,33,PF,28,172,228,Clemson,4775000,26-30
443,Trey Burke,Utah Jazz,3,PG,23,180,191,Michigan,2658240,21-25
444,Alec Burks,Utah Jazz,10,SG,24,152,214,Colorado,9463484,21-25
445,Dante Exum,Utah Jazz,11,PG,20,155,190,Unknown,3777720,15-20
446,Derrick Favors,Utah Jazz,15,PF,24,175,265,Georgia Tech,12000000,21-25
447,Rudy Gobert,Utah Jazz,27,C,23,172,245,Unknown,1175880,21-25
448,Gordon Hayward,Utah Jazz,20,SF,26,155,226,Butler,15409570,26-30
449,Rodney Hood,Utah Jazz,5,SG,23,159,206,Duke,1348440,21-25
450,Joe Ingles,Utah Jazz,2,SF,28,177,226,Unknown,2050000,26-30
451,Chris Johnson,Utah Jazz,23,SF,26,163,206,Dayton,981348,26-30
452,Trey Lyles,Utah Jazz,41,PF,20,164,234,Kentucky,2239800,15-20
453,Shelvin Mack,Utah Jazz,8,PG,26,172,203,Butler,2433333,26-30
454,Raul Neto,Utah Jazz,25,PG,24,167,179,Unknown,900000,21-25
455,Tibor Pleiss,Utah Jazz,21,C,26,179,256,Unknown,2900000,26-30
456,Jeff Withey,Utah Jazz,24,C,26,173,231,Kansas,947276,26-30
457,Priyanka,Utah Jazz,34,C,25,175,231,Kansas,947276,21-25
